Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	P153537	P154325	P158276	P158785	P160971	P165114	P165970	P170055	P172017	P174092	P176973	P179186	P179980	P182545	P184521	P149774	P149985	P153403	P155534	P157632	P158665	P160100	P161515	P161809	P161865	P164398	P164921	P169026	P170008	P170561	P172390	P172496	P177793	P181568	P184022	P186330	
Deletion Peak  3	4p16.3  	chr4:1-191154276(probes 67460:84885)                	chr4:1-551344(probes 67460:67510)                      	chr4:78605-96945(probes 67464:67465)                    	0.23965	   0.23965		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak  4	5q31.3  	chr5:140703140-140898585(probes 98307:98326)    	chr5:140713088-140898585(probes 98308:98326)    	chr5:140083984-140857981(probes 98249:98320)    	0.012783	  0.012783		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	
Deletion Peak  5	7q11.21 	chr7:57022777-64500498(probes 123928:124146)      	chr7:63069027-64323467(probes 124014:124128)      	chr7:57199907-64481315(probes 123946:124144)      	0.059934	  0.059934		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	
Deletion Peak  6	10q11.22	chr10:38988081-50828682(probes 163887:165055)    	chr10:47648060-47714471(probes 164742:164749)    	chr10:42681236-50848523(probes 164257:165057)    	0.0042325	 0.0042325		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Deletion Peak  7	10q26.2 	chr10:98325373-135534747(probes 169643:173331)  	chr10:121641699-135402015(probes 171958:173321)	chr10:101090703-135534747(probes 169909:173331)	0.11119	   0.11119		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak  8	11p15.5 	chr11:993383-1245561(probes 173416:173445)         	chr11:1000070-1122224(probes 173417:173432)        	chr11:1013445-1131711(probes 173419:173433)        	0.051152	  0.050609		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	
Deletion Peak  9	14q11.2 	chr14:20019216-20225713(probes 207354:207369)    	chr14:20136995-20225713(probes 207366:207369)    	chr14:19585358-20245604(probes 207317:207371)    	0.08088	   0.08088		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	
Deletion Peak 10	14q22.1 	chr14:1-107349540(probes 207267:215858)         	chr14:51082023-53638340(probes 210382:210626)    	chr14:51111672-51152126(probes 210385:210386)    	0.17003	   0.23965		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Deletion Peak 11	14q24.3 	chr14:72202350-88479742(probes 212466:214061)    	chr14:74340595-76129892(probes 212645:212823)    	chr14:74380328-74408176(probes 212649:212650)    	0.073154	   0.11375		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 12	14q32.33	chr14:106395694-106747458(probes 215763:215800)	chr14:106424724-106452817(probes 215767:215768)	chr14:105996091-107349540(probes 215721:215858)	0.0011396	 0.0011627		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
Deletion Peak 13	15q11.2 	chr15:1-27218228(probes 215859:216562)           	chr15:20472890-23459333(probes 215899:216182)    	chr15:1-23469317(probes 215859:216183)           	0.17867	   0.17867		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak 14	16p11.2 	chr16:31926800-34405307(probes 227029:227254)    	chr16:33194886-34256916(probes 227159:227238)    	chr16:31895889-46655188(probes 227023:227296)    	0.036118	  0.036118		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
Deletion Peak 15	17p13.2 	chr17:2648233-6934946(probes 231916:232357)        	chr17:3455134-6934946(probes 232000:232357)        	chr17:2866790-4678020(probes 231938:232125)        	0.027807	  0.027807		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	
Deletion Peak 16	17p12   	chr17:8188405-15888407(probes 232502:233152)      	chr17:12890498-15181709(probes 232978:233076)    	chr17:8161150-15264478(probes 232498:233086)      	0.047651	   0.08088		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	
Deletion Peak 17	17q11.2 	chr17:29322729-29631647(probes 234412:234449)    	chr17:29605452-29631647(probes 234444:234449)    	chr17:28961164-32592746(probes 234388:234714)    	0.0068435	 0.0068435		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	
Deletion Peak 18	17q21.31	chr17:44080808-44850980(probes 235867:235917)    	chr17:44090696-44850980(probes 235868:235917)    	chr17:44179688-44209350(probes 235877:235878)    	0.046225	  0.046225		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Deletion Peak 19	18q23   	chr18:77634151-78077248(probes 246259:246297)    	chr18:77644117-78077248(probes 246260:246297)    	chr18:77683980-77712873(probes 246264:246265)    	0.15802	   0.15802		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
Deletion Peak 20	19p13.2 	chr19:8937247-9213025(probes 247207:247226)        	chr19:8947126-9213025(probes 247208:247226)        	chr19:8595517-9281766(probes 247169:247236)        	0.006293	  0.006293		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	
Deletion Peak 21	19p12   	chr19:19790179-30017647(probes 248294:248737)    	chr19:22134768-23443619(probes 248531:248647)    	chr19:19790179-30018205(probes 248294:248738)    	0.0064062	 0.0064062		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 22	19q13.42	chr19:55337666-55593054(probes 251295:251320)    	chr19:55347586-55593054(probes 251296:251320)    	chr19:51767206-59128983(probes 250920:251697)    	0.001235	  0.001235		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	
Deletion Peak 23	21q21.1 	chr21:18961466-22118018(probes 258284:258538)    	chr21:18971451-20240522(probes 258285:258350)    	chr21:18981436-20260495(probes 258286:258352)    	0.055421	   0.05475		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	
Deletion Peak 24	22q11.1 	chr22:1-17609385(probes 260683:260813)           	chr22:1-17609385(probes 260683:260813)           	chr22:1-17599399(probes 260683:260812)           	0.20867	   0.20768		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	
Amplification Peak  1 - CN values	3q27.1  	chr3:183848368-183986317(probes 66160:66174)    	chr3:183858337-183976378(probes 66161:66173)    	chr3:182948870-184941039(probes 66075:66271)    	0.083085	   0.083085		Actual Copy Change Given	0.2542	0.10684	-0.0051869	0.11058	1.9704	-0.061073	-0.10165	1.2294	0.054729	-0.56	-0.05586	-0.071792	1.2745	-0.0025128	0.0035657	0.024981	0.00033847	0.0096972	-0.038515	0.048018	0.15986	0.10812	-0.029015	0.022305	-0.061682	-0.0056122	-0.034438	-0.10929	3.6569	0.73644	0.011391	0.75007	-0.031924	0.012707	0.0092661	0.016289	
Amplification Peak  2 - CN values	4q12    	chr4:54967919-56235096(probes 72419:72463)        	chr4:54968129-56225691(probes 72420:72462)        	chr4:49504502-62477351(probes 72228:72646)        	7.4126e-08	 2.8548e-05		Actual Copy Change Given	0.15393	0.9955	1.9335	3.5778	0.15674	0.0331	-0.0041386	0.0045166	0.12502	0.097287	1.4908	0.69692	-0.036909	3.6569	-0.011874	0.015919	-0.056626	0.0050455	3.6569	-0.028559	0.013546	0.026555	0.88019	3.6569	0.005402	0.00031854	0.19267	-0.012958	-0.05678	-0.0081246	-0.0064678	-0.012234	0.042001	0.71274	0.014249	-0.064938	
Amplification Peak  3 - CN values	4q12    	chr4:56301816-57311459(probes 72472:72573)        	chr4:56308661-56759680(probes 72473:72519)        	chr4:49504502-62477351(probes 72228:72646)        	3.2644e-06	    0.10102		Actual Copy Change Given	0.15393	0.9955	1.9335	0.8913	0.15674	0.0331	-0.0041386	0.0045166	0.12502	0.097287	1.4908	0.69692	-0.036909	3.6569	-0.011874	0.015919	-0.056626	0.0050455	3.6569	-0.028559	0.013546	0.026555	0.88019	3.6569	0.005402	0.00031854	0.19267	-0.012958	-0.05678	-0.0081246	-0.0064678	-0.012234	0.042001	0.71274	0.014249	-0.064938	
Amplification Peak  4 - CN values	7q22.1  	chr7:100624523-100686771(probes 127730:127742)  	chr7:100633854-100686131(probes 127731:127741)  	chr7:100491688-100720856(probes 127721:127748)  	0.0056275	  0.0056275		Actual Copy Change Given	2.0899	-0.98689	-0.0011534	0.011343	-0.20546	0.22783	0.067082	-0.033027	2.7852	0.5131	0.35034	0.23444	-0.0075047	0.0097007	0.0039809	-0.060889	0.014826	0.011764	2.3102	-1.1769	-0.0060656	0.2251	0	0	-0.025001	-0.057944	0.063187	-0.12925	0.60274	0.0024028	0.38609	-0.35163	2.3564	-0.0012094	-3.0705e-05	0.06253	
Amplification Peak  5 - CN values	8q24.21 	chr8:128088997-131102229(probes 145253:145518)  	chr8:128098814-131092241(probes 145254:145517)  	chr8:128098814-131122206(probes 145254:145520)  	0.11831	    0.11831		Actual Copy Change Given	0.12319	0.049011	0.021191	0.040113	0.7099	0.42834	0.89679	0.027675	-0.17239	1.6996	0.35461	0.8873	-0.025013	3.6569	-0.0073835	-0.022599	0	0.015268	-0.034163	0.020869	0.0087357	-0.063188	-0.059085	0.0016877	0.0069772	0.0024107	0.075978	0.039125	0.62061	-0.014389	0.38685	0	-0.02863	0.0088982	0.0052238	-0.026044	
Amplification Peak  6 - CN values	12p11.21	chr12:31270811-31658602(probes 188388:188427)    	chr12:31279414-31648728(probes 188389:188426)    	chr12:31279414-32378850(probes 188389:188482)    	0.10802	    0.10802		Actual Copy Change Given	-0.48156	-0.82868	0.019795	0.022099	0.21701	0.93873	1.0611	0.013675	0.20218	2.33	0.053767	-0.01009	0.010306	0	0.005544	0.1625	0.016079	-0.0017515	0	-0.0050525	0.021564	1.3742	0.03237	0.059558	0.0076295	0.067378	0.032545	0.039205	3.6569	-0.0012901	-0.0052068	8.6576e-05	0	0.0028487	-0.0037962	0.035772	
Amplification Peak  7 - CN values	14q32.33	chr14:106494493-107349540(probes 215777:215858)	chr14:106494650-107049166(probes 215778:215832)	chr14:106405633-107349540(probes 215764:215858)	0.0002821	  0.0002821		Actual Copy Change Given	0.97223	-1.14	-0.13648	-0.0011979	-0.67125	1.8188	2.0881	-1.1678	-1.2929	-0.43003	-0.4331	-0.87667	-0.44289	-0.07735	-0.0013044	-0.10488	-0.10595	0.0047835	1.6665	-1.1234	-0.42668	-0.14032	2.2941	-0.029237	-0.042497	-0.39022	1.5047	-0.0029316	-0.29892	0.0026002	-0.013916	-0.13096	1.7552	-0.043305	-0.0052561	0.0062462	
Amplification Peak  8 - CN values	15q26.3 	chr15:86303128-102531392(probes 222420:223929)  	chr15:101929859-102211875(probes 223868:223897)	chr15:100604021-102531392(probes 223737:223929)	0.06289	    0.06289		Actual Copy Change Given	-0.41591	0.1013	0.16261	-0.022851	0.10705	-0.060639	-0.056237	-0.010086	0.84	0.062514	1.0639	-0.92055	0.12678	3.6569	-0.0057498	-0.016113	-0.0043501	-0.016358	0.020146	-0.50619	-0.019704	0.78862	0.37186	0.16883	-0.046794	-0.13157	0.024833	0.16151	0.96366	0.0082777	-0.029176	-0.0094197	-0.012864	0.00053412	-0.0083044	0	
Amplification Peak  9 - CN values	19p13.2 	chr19:11678134-12747056(probes 247476:247583)    	chr19:12693704-12739863(probes 247577:247582)    	chr19:11688044-12769007(probes 247477:247588)    	0.0004576	  0.0004576		Actual Copy Change Given	1.7176	-0.47012	-0.12326	-0.077756	-0.48619	1.3423	1.3519	-0.94908	1.4803	0.2314	-0.37092	0.1319	0.068232	-0.0051236	0.021632	-0.057603	-0.01348	-0.066154	1.6286	-0.90927	-0.083732	0.39525	2.2679	-0.062124	-0.11527	0.23658	1.2992	-0.096665	1.3479	0.028076	-0.079606	0.035694	0.94276	0.034517	0.12376	0.19756	
Amplification Peak 10 - CN values	19p13.11	chr19:19822529-29704001(probes 248297:248736)    	chr19:19825242-19843651(probes 248298:248298)    	chr19:19790179-30018205(probes 248294:248738)    	1.286e-13	  1.286e-13		Actual Copy Change Given	3.6569	0.80351	0.039671	-0.077756	-0.57931	1.0495	3.4449	-1.2929	3.6569	0.1925	-0.37092	0.1319	-0.16966	-0.0051236	0.021632	-0.057603	-0.01348	-0.066154	3.6569	-1.2929	0.039846	0.30494	3.6569	-0.062124	0.042661	-0.066734	3.6569	0.01236	1.9641	0.028076	-0.079606	-0.039557	3.2253	0.034517	0.12376	0.19756	
Deletion Peak  1 - CN values	1q21.3  	chr1:152009388-152819815(probes 15141:15226)    	chr1:152057387-152790197(probes 15149:15222)    	chr1:152060488-153042592(probes 15150:15249)    	0.034093	  0.034093		Actual Copy Change Given	1.1419	-0.76058	0.71524	-0.016815	-0.46973	0.14547	1.7671	-0.73265	1.6708	-0.96819	0.073733	0.14948	0.015146	0.90576	0.88069	-0.011677	-0.0047018	-0.008928	1.1825	-0.90972	0.01155	0.16161	1.1111	0.060781	0.013365	-0.50322	0.12728	0.44256	0.0069201	0.0086451	-0.0078661	-0.32146	-0.030563	-0.016519	0.0013674	-0.03682	
Deletion Peak  2 - CN values	2q11.2  	chr2:97741799-98271411(probes 34405:34463)        	chr2:97749655-97940537(probes 34406:34424)        	chr2:97784077-98195536(probes 34409:34453)        	0.092334	  0.092334		Actual Copy Change Given	-0.28045	-1.2929	-0.001307	-0.42128	-0.013616	-0.0046341	1.7034	-1.2929	0.11507	0.035656	0.060704	-0.0073706	0.0044929	-0.24693	-0.0015391	0.028826	0.0098936	-0.0022924	0.019931	-1.2929	0.0040018	0.072991	-0.0205	-0.015929	0	-0.025961	0.074723	-0.012518	0.293	0	0	-0.010882	0.0057145	0.0036933	0.011057	0.023168	
Deletion Peak  3 - CN values	4p16.3  	chr4:1-191154276(probes 67460:84885)                	chr4:1-551344(probes 67460:67510)                      	chr4:78605-96945(probes 67464:67465)                    	0.23965	   0.23965		Actual Copy Change Given	0.15393	-1.2929	0.025574	0.026149	-0.36478	0.0331	-0.0041386	0.0045166	0.12502	0.097287	-0.84198	0.75728	0.18451	-0.89318	-0.011874	0.030598	-0.30277	0.0050455	-0.090092	-0.028559	0.013546	-0.15076	0.020932	0.23139	0.005402	0.00031854	-0.23101	-0.012958	-0.05678	-0.0081246	-0.0064678	-0.012234	0.042001	-0.021446	0.014249	-0.064938	
Deletion Peak  4 - CN values	5q31.3  	chr5:140703140-140898585(probes 98307:98326)    	chr5:140713088-140898585(probes 98308:98326)    	chr5:140083984-140857981(probes 98249:98320)    	0.012783	  0.012783		Actual Copy Change Given	0.097797	-0.83617	0	0	-0.20538	0.0092957	-0.018663	-0.4771	-0.48811	-1.0453	-0.70264	0	-0.42639	-0.87462	-0.004498	-0.0066014	0.0092753	0	0.99696	-0.49445	-0.25943	-0.022743	0.039413	-0.18918	0.0029435	-0.49219	0.53266	-0.26798	-0.74865	-0.0074594	-0.0074559	0.011077	0.030747	-0.0065347	0	-0.040049	
Deletion Peak  5 - CN values	7q11.21 	chr7:57022777-64500498(probes 123928:124146)      	chr7:63069027-64323467(probes 124014:124128)      	chr7:57199907-64481315(probes 123946:124144)      	0.059934	  0.059934		Actual Copy Change Given	0.20854	-1.1689	-0.0011534	0.011343	0.075368	3.6569	0.84818	-1.2552	0.070984	-0.3596	0.26483	0.23444	0.012233	0.0097007	0.0039809	0.030402	0.014826	-0.014097	0.058588	-1.2929	-0.0060656	0.16692	0	0	-0.025001	-0.13328	0.063187	0.019634	-0.24739	0.0024028	0.38609	0.010745	0.049582	-0.0012094	-3.0705e-05	0.06253	
Deletion Peak  6 - CN values	10q11.22	chr10:38988081-50828682(probes 163887:165055)    	chr10:47648060-47714471(probes 164742:164749)    	chr10:42681236-50848523(probes 164257:165057)    	0.0042325	 0.0042325		Actual Copy Change Given	-0.07564	-0.75496	-0.020033	-0.87129	-0.88358	0.017699	-0.093473	-0.88677	-0.75173	-1.2929	-0.099615	-0.028933	-0.021493	-0.14817	0.00066596	0.013587	0.0072539	0.00029395	0.32944	-0.042433	-0.015283	-0.020484	0.0094835	0.041861	-0.020673	-0.010256	-0.0038944	0	-0.26884	-0.0048299	0.0045776	-0.027683	0.027698	-0.0011242	-0.009046	-0.0013849	
Deletion Peak  7 - CN values	10q26.2 	chr10:98325373-135534747(probes 169643:173331)  	chr10:121641699-135402015(probes 171958:173321)	chr10:101090703-135534747(probes 169909:173331)	0.11119	   0.11119		Actual Copy Change Given	-0.07564	-0.75496	-0.020033	-0.87129	-0.85036	0.017699	-0.093473	-0.61406	-0.90098	-0.85116	-0.55377	-0.70173	-0.021493	-0.40418	0.00066596	0.013587	-0.041994	0.00029395	-0.54266	-0.042433	-0.13983	-0.020484	0.0094835	0.041861	-0.020673	-0.010256	-0.26479	0	0.36676	-0.0048299	0.0045776	-0.080471	0.027698	-0.0011242	-0.009046	-0.0013849	
Deletion Peak  8 - CN values	11p15.5 	chr11:993383-1245561(probes 173416:173445)         	chr11:1000070-1122224(probes 173417:173432)        	chr11:1013445-1131711(probes 173419:173433)        	0.051152	  0.050609		Actual Copy Change Given	-0.92515	-0.78926	0.022491	0.011508	-0.65587	-1.2929	-0.045848	0.070817	-0.92236	-0.87337	-0.82772	0.0098638	-0.39525	-0.0015628	0	0.09134	0.016945	0.024974	-0.22809	0.048976	0.010092	0	-0.066637	-0.0028606	0.01202	-0.2107	-0.025621	0.033727	-0.1331	-0.0058263	-0.21845	-0.3309	-0.03216	-0.19317	0.012189	-0.56121	
Deletion Peak  9 - CN values	14q11.2 	chr14:20019216-20225713(probes 207354:207369)    	chr14:20136995-20225713(probes 207366:207369)    	chr14:19585358-20245604(probes 207317:207371)    	0.08088	   0.08088		Actual Copy Change Given	0.60452	-0.11378	-0.61715	-0.97147	-0.36485	0.13522	1.1844	-0.0072271	2.2435	-0.51783	-0.4276	-0.82663	-0.43327	-0.07735	-0.0013044	-0.084536	-0.14031	0.0047835	0.056846	-0.5282	0.093444	-0.12079	-0.013313	-0.029237	-0.01762	-0.37609	-0.029074	-0.041809	-0.14326	0.0026002	-0.071709	-0.15265	-0.02443	-0.043305	-0.0052561	-0.56878	
Deletion Peak 10 - CN values	14q22.1 	chr14:1-107349540(probes 207267:215858)         	chr14:51082023-53638340(probes 210382:210626)    	chr14:51111672-51152126(probes 210385:210386)    	0.17003	   0.23965		Actual Copy Change Given	-0.48875	-0.11378	-0.18501	-0.0011979	-0.80516	0.13522	0.050752	-0.0072271	0.020607	-0.43003	-0.52186	-0.87667	-0.79311	-0.07735	-0.0013044	-0.3962	-0.28045	0.0047835	-0.71693	-0.19901	-0.45025	-0.14032	-0.013313	-0.029237	-0.042497	0.0076174	-0.029074	-0.0029316	-0.55474	0.0026002	-0.013916	0.0088614	-0.02443	-0.043305	-0.0052561	0.0062462	
Deletion Peak 11 - CN values	14q24.3 	chr14:72202350-88479742(probes 212466:214061)    	chr14:74340595-76129892(probes 212645:212823)    	chr14:74380328-74408176(probes 212649:212650)    	0.073154	   0.11375		Actual Copy Change Given	-0.48875	-0.95151	-0.13648	-0.0011979	-0.84526	-0.073954	0.050752	-0.0072271	-0.90677	-0.43003	-0.52186	-0.87667	-0.44289	-0.07735	-0.0013044	-0.3962	-0.28045	0.0047835	-0.71693	0.047428	-0.49336	-0.14032	-0.013313	-0.029237	-0.042497	0.0076174	-0.029074	-0.0029316	-0.092148	0.0026002	-0.013916	0.0088614	-0.02443	-0.043305	-0.0052561	0.0062462	
